Dataset,Model,MSE,MAE,RMSE,R²
ek_a_kitosan_partikulleri_veri_seti.csv,MLP model,5539.57412848668,35.61013486147316,74.42831536778647,0.48072651915602127
ek_a_kitosan_partikulleri_veri_seti.csv,RBF model,5639.765040160782,34.94312869648352,75.09836909121783,0.4713347351944345
ek_a_kitosan_partikulleri_veri_seti.csv,Random Forest model,5987.352480590688,36.1501400732241,77.3779844696842,0.4387522774272352
ek_b_kitosan_tio2_partikulleri_veri_seti.csv,MLP model,4960.007204972564,55.14002303263879,70.42731859848537,0.31000378041471655
ek_b_kitosan_tio2_partikulleri_veri_seti.csv,RBF model,3712.9501920751604,35.38865441842629,60.93398224369683,0.48348429948410043
ek_b_kitosan_tio2_partikulleri_veri_seti.csv,Random Forest model,3040.373856082341,34.40522665040654,55.13958520049222,0.577047697688909
ek_c_kitosan_kitosan_tio2_partikulleri_veri_seti.csv,MLP model,2736.1388219222363,35.25559678871911,52.308114302871175,0.6792507595399869
ek_c_kitosan_kitosan_tio2_partikulleri_veri_seti.csv,RBF model,2517.8139406572313,31.504297222624132,50.17782319568308,0.7048443220004165
ek_c_kitosan_kitosan_tio2_partikulleri_veri_seti.csv,Random Forest model,1993.0277765689054,29.12962393719803,44.64333966639263,0.7663634094774913
