Model,MSE,MAE,RMSE,R2,Samples
Retrieval-kNN (all test),2266.106145784252,30.630856541690996,47.60363584626968,0.7343512619906373,345
Retrieval-kNN (LLM subset),1378.425043751813,28.305482162521923,37.12714699181467,0.7734286420018333,40
LLM + retrieved examples,1855.4821181260013,31.443735000000014,43.07530752212921,0.6950148975087714,40
