Dataset,Model,MSE,MAE,RMSE,R²
TiO2 doped chitosan,MLP model,0.009841458083003374,0.07767039486186576,0.0992041233165405,0.31000378041471666
TiO2 doped chitosan,RBF model,0.00736709487900616,0.04984856028591581,0.08583178245269149,0.4834842994841003
